V_R,V_S,V_T,Kondisi
209.74,216.04,223.22,0
221.45,211.64,225.94,0
211.32,214.03,229.63,0
204.14,220.9,221.9,1
211.71,273.96,230.37,1
217.27,212.17,295.53,1
226.15,22.8,218.17,1
249.62,223.14,212.66,1
226.53,210.78,217.49,0
220.68,210.76,221.71,0
97.4,226.44,210.35,1
223.93,222.43,228.56,0
229.4,274.71,220.51,1
274.28,224.28,228.6,1
62.79,228.59,216.41,1
209.27,221.19,228.47,0
219.93,224.23,132.94,1
226.24,228.62,214.64,0
227.8,230.96,216.09,0
215.84,229.78,223.92,0
213.63,212.56,210.98,0
215.02,209.7,248.86,1
77.42,215.85,225.01,1
216.36,212.91,226.5,0
226.06,233.93,221.0,1
227.12,229.25,224.13,0
209.31,215.23,229.24,0
228.01,218.76,216.01,0
249.78,215.2,225.95,1
25.41,225.5,229.68,1
229.53,226.43,216.34,0
238.11,229.01,209.68,1
215.65,242.92,227.85,1
215.22,225.13,215.44,0
228.74,225.03,230.63,0
213.09,221.08,226.38,0
260.83,223.37,218.63,1
225.02,216.9,246.05,1
221.48,289.4,214.44,1
222.3,295.82,226.43,1
227.16,229.5,141.53,1
229.87,212.27,221.92,0
215.49,215.16,63.5,1
221.99,225.82,128.4,1
219.5,220.61,209.06,0
246.15,214.44,227.31,1
228.88,226.47,209.99,0
263.06,210.84,216.92,1
219.61,212.95,214.22,0
230.74,215.35,215.22,0
294.66,220.52,221.05,1
228.94,144.15,221.49,1
214.28,230.03,223.37,0
220.57,298.73,215.34,1
220.72,184.5,228.69,1
213.04,230.0,216.92,0
226.34,151.11,219.96,1
225.38,225.48,209.44,0
279.64,218.48,227.75,1
223.78,214.95,142.97,1
218.47,219.3,215.08,0
99.64,218.01,216.61,1
229.37,216.8,62.96,1
101.13,222.34,222.51,1
224.35,210.19,215.55,0
210.88,283.61,227.54,1
216.41,214.62,217.34,0
212.02,221.65,220.48,0
221.34,229.36,210.38,0
221.92,206.27,225.49,1
211.76,226.02,241.76,1
226.04,209.64,15.62,1
90.11,217.13,211.96,1
139.94,212.46,227.05,1
247.61,221.36,213.64,1
221.39,288.18,226.6,1
213.52,223.45,224.41,0
229.53,216.47,214.79,0
226.0,222.32,211.76,0
215.08,211.81,219.46,0
216.07,218.93,220.85,0
215.13,227.89,229.18,0
264.07,223.96,228.94,1
64.61,209.13,221.44,1
224.58,18.39,217.14,1
209.74,216.98,241.38,1
228.79,218.36,213.49,0
228.52,222.09,222.26,0
216.21,229.66,228.03,0
224.13,211.48,211.05,0
210.36,229.56,288.93,1
223.63,220.42,228.3,0
218.51,252.99,216.34,1
224.62,224.51,77.14,1
223.34,190.91,218.23,1
209.25,225.91,223.34,0
221.94,222.71,215.57,0
230.22,135.52,215.94,1
40.89,209.76,225.07,1
215.59,18.18,214.82,1
210.01,142.89,219.17,1
230.13,221.71,74.54,1
210.68,224.19,228.42,0
229.46,220.86,233.31,1
212.98,213.09,229.9,0
216.57,223.17,297.88,1
210.13,221.33,275.62,1
230.15,264.92,228.49,1
214.73,219.36,209.09,0
213.33,229.69,121.91,1
214.05,271.98,229.35,1
215.18,228.26,209.0,0
186.63,218.86,226.66,1
213.79,218.94,212.8,0
215.54,218.06,217.16,0
216.22,221.03,221.74,0
210.96,217.43,220.34,0
230.34,218.4,227.13,0
210.71,219.04,217.53,0
223.83,215.19,261.42,1
264.67,228.02,226.64,1
218.51,176.07,230.52,1
155.37,222.78,222.59,1
229.98,229.46,76.23,1
214.69,221.79,214.75,0
217.59,209.67,215.79,0
214.07,215.05,214.73,0
211.33,222.64,193.93,1
283.46,222.65,222.14,1
230.16,212.75,162.56,1
224.24,221.0,213.93,0
224.53,218.96,217.63,0
210.45,226.86,215.39,0
217.64,205.02,227.48,1
211.7,158.07,213.12,1
218.76,43.7,220.32,1
211.76,211.72,103.51,1
221.5,221.27,216.93,0
209.06,226.21,229.61,0
228.93,220.59,209.21,0
229.8,214.12,289.77,1
228.27,227.44,211.68,0
209.67,225.32,220.88,0
212.41,225.58,218.54,0
210.7,223.12,202.21,1
215.38,228.51,210.51,0
228.75,226.17,253.6,1
228.86,250.75,212.66,1
212.86,229.78,221.33,0
216.72,228.1,219.82,0
219.17,209.45,226.23,0
230.72,218.78,230.07,0
81.91,220.7,226.75,1
224.97,16.59,219.31,1
212.59,218.4,228.31,0
247.21,222.25,222.82,1
215.41,130.13,213.89,1
214.8,36.84,227.92,1
213.7,211.23,263.14,1
226.12,230.91,1.22,1
213.24,211.42,215.06,0
270.27,225.42,216.42,1
221.85,214.41,224.83,0
95.78,214.63,211.95,1
228.87,291.22,215.08,1
222.23,75.01,210.69,1
218.94,222.48,226.79,0
212.7,218.1,230.27,0
228.47,210.55,124.19,1
214.4,164.83,216.45,1
229.89,218.42,226.33,0
277.7,209.92,209.71,1
212.59,215.91,117.42,1
212.91,215.49,287.47,1
213.02,225.21,218.47,0
228.67,225.87,229.92,0
212.57,212.49,209.71,0
227.94,221.33,214.42,0
216.78,218.32,141.0,1
221.76,223.19,287.2,1
225.63,214.57,238.39,1
216.45,287.59,230.56,1
209.86,222.67,219.68,0
212.93,222.32,227.86,0
255.58,223.45,223.29,1
224.51,224.64,214.43,0
230.89,219.07,298.58,1
224.29,218.81,281.27,1
227.85,230.33,249.55,1
267.0,227.89,209.02,1
220.26,242.41,213.26,1
216.0,216.87,214.33,0
229.43,245.7,217.5,1
227.5,225.99,215.09,0
211.82,247.81,210.21,1
223.54,209.9,225.3,0
218.99,224.78,219.39,0
215.71,220.92,219.37,0
214.14,225.73,218.53,0
219.12,222.63,282.58,1
200.37,209.12,218.09,1
230.34,210.35,212.73,0
186.2,223.02,218.75,1
228.56,228.83,230.78,0
227.82,213.99,229.97,0
116.4,221.92,225.26,1
228.55,216.28,210.46,0
227.47,217.15,224.4,0
209.16,209.16,297.43,1
210.4,210.0,226.0,0
209.29,223.18,211.29,0
184.68,225.73,224.06,1
215.18,58.95,217.89,1
210.92,212.58,215.33,0
210.72,229.14,215.54,0
223.1,229.69,227.61,0
259.95,230.24,215.49,1
211.61,216.63,217.7,0
211.56,225.09,227.79,0
222.72,211.15,212.42,0
209.76,227.85,220.89,0
226.57,214.7,213.09,0
215.15,226.94,217.54,0
220.37,227.89,111.42,1
217.44,230.78,212.86,0
222.46,226.77,228.55,0
221.84,222.23,215.8,0
98.84,211.59,222.29,1
216.88,222.56,298.74,1
211.57,224.5,215.31,0
212.28,212.4,211.5,0
219.42,228.97,230.64,0
218.65,210.65,217.39,0
284.5,230.84,215.02,1
278.39,209.46,214.06,1
229.09,86.94,213.67,1
219.75,216.66,230.64,0
217.31,223.22,241.04,1
277.26,218.19,212.1,1
211.74,104.86,226.59,1
228.01,54.19,217.33,1
220.65,224.16,213.52,0
280.41,225.47,212.32,1
130.79,218.58,222.75,1
225.27,241.21,215.1,1
224.61,217.72,216.6,0
222.41,220.58,32.03,1
212.9,174.14,218.18,1
224.82,209.9,225.89,0
228.54,157.36,214.56,1
229.83,287.14,213.94,1
224.12,215.17,226.1,0
230.39,217.35,129.79,1
227.18,222.15,228.68,0
177.8,220.82,228.35,1
222.5,212.16,211.6,0
216.46,227.82,223.71,0
215.77,218.36,90.35,1
216.88,229.86,36.02,1
209.57,224.84,271.24,1
260.03,213.92,225.91,1
217.5,222.88,226.83,0
62.23,219.05,222.5,1
258.85,209.93,222.74,1
210.5,223.05,217.42,0
222.28,224.7,213.19,0
210.64,226.85,217.26,0
230.39,219.57,223.03,0
217.72,211.91,294.89,1
220.65,214.3,230.44,0
209.01,222.26,211.19,0
210.03,223.23,220.65,0
230.23,228.14,214.43,0
211.63,215.98,210.86,0
223.79,229.72,217.08,0
210.13,216.38,225.47,0
221.75,211.89,209.45,0
214.39,221.43,226.45,0
213.2,225.81,219.55,0
217.7,219.93,210.61,0
217.54,217.96,225.49,0
229.49,285.22,228.29,1
181.39,223.6,221.28,1
221.03,212.81,221.56,0
229.36,213.51,213.63,0
221.53,242.15,213.65,1
229.25,215.83,254.23,1
223.6,222.96,230.14,0
230.15,216.5,217.9,0
217.88,229.65,145.17,1
228.28,226.65,209.2,0
215.55,217.39,227.03,0
216.52,211.44,213.39,0
217.53,219.0,226.08,0
227.19,227.97,258.52,1
210.58,220.03,217.72,0
230.47,254.12,221.89,1
212.07,227.17,226.19,0
194.98,215.79,214.38,1
229.94,266.59,225.99,1
220.77,213.94,228.5,0
229.12,229.11,222.95,0
223.3,211.15,30.14,1
91.49,227.22,215.76,1
223.9,227.25,284.18,1
220.59,233.96,220.01,1
217.79,213.58,211.16,0
210.44,210.19,105.93,1
236.88,211.95,225.48,1
219.87,218.39,212.62,0
220.59,211.79,272.19,1
257.51,228.73,216.42,1
211.37,133.96,222.63,1
230.53,220.36,280.39,1
220.65,215.77,220.33,0
230.26,217.3,79.22,1
220.28,217.29,201.1,1
220.31,214.45,209.5,0
213.01,209.43,224.61,0
209.32,222.7,220.01,0
225.62,219.48,230.58,0
212.24,224.82,212.04,0
228.9,228.15,226.25,0
214.24,209.9,212.12,0
212.25,219.65,276.21,1
194.51,229.6,220.28,1
215.54,228.21,214.04,0
219.72,215.61,228.83,0
245.55,227.23,222.85,1
220.28,214.42,132.44,1
221.68,294.34,230.67,1
213.8,224.13,229.13,0
285.39,220.65,230.02,1
219.73,217.48,299.09,1
223.38,214.97,220.78,0
230.92,219.15,226.54,0
223.13,38.98,219.59,1
215.8,213.01,102.1,1
211.36,226.03,294.22,1
291.55,212.81,219.02,1
226.6,226.4,235.4,1
221.95,220.57,250.31,1
219.3,221.67,228.77,0
216.32,227.81,226.88,0
215.31,197.96,218.55,1
214.4,229.21,225.68,0
230.82,212.54,271.36,1
218.3,218.17,126.82,1
229.12,217.38,221.19,0
223.04,228.12,220.77,0
216.39,230.05,249.95,1
213.78,221.88,225.9,0
244.6,224.86,209.9,1
217.14,211.82,218.27,0
223.1,227.34,220.05,0
222.19,74.67,215.72,1
212.74,242.53,210.47,1
15.96,223.48,229.69,1
230.2,226.0,225.47,0
217.89,230.79,212.01,0
219.04,211.42,229.73,0
217.0,266.08,227.16,1
218.62,266.05,228.59,1
221.8,214.97,217.07,0
229.61,63.11,217.97,1
211.86,229.54,217.3,0
222.11,45.73,223.81,1
225.32,223.09,204.89,1
230.77,211.87,214.62,0
218.45,220.71,284.48,1
216.86,138.15,223.1,1
225.69,220.13,218.13,0
224.14,270.21,221.62,1
210.6,212.4,221.42,0
215.72,104.03,211.42,1
213.19,223.13,291.43,1
220.98,268.59,220.63,1
230.0,226.91,223.08,0
218.0,230.15,220.36,0
230.75,211.23,220.32,0
212.73,24.0,214.13,1
211.66,218.86,209.51,0
210.33,219.09,219.77,0
215.72,210.44,210.42,0
218.23,211.61,211.55,0
214.18,209.55,230.39,0
92.59,227.24,218.6,1
221.8,227.73,230.32,0
230.84,220.53,210.84,0
230.46,217.55,212.23,0
277.6,222.82,226.69,1
217.08,212.78,230.45,0
221.7,225.22,218.14,0
213.96,216.23,214.64,0
259.87,219.38,216.75,1
267.73,228.75,209.46,1
227.12,218.26,226.65,0
229.32,214.64,214.13,0
221.97,222.66,212.18,0
225.88,216.22,108.41,1
221.71,51.83,225.98,1
221.57,214.33,257.63,1
93.74,220.84,215.7,1
226.87,230.53,226.17,0
213.07,219.96,211.24,0
221.47,258.88,227.64,1
248.81,227.47,211.85,1
209.52,215.03,221.9,0
227.12,213.84,211.86,0
219.55,210.94,230.33,0
227.99,228.63,228.47,0
228.04,214.39,222.7,0
216.37,225.18,226.64,0
211.0,220.0,228.25,0
230.15,218.17,61.88,1
172.78,210.73,213.47,1
220.42,224.88,140.42,1
212.38,224.14,210.8,0
221.2,218.76,91.07,1
228.04,220.43,221.94,0
223.54,210.9,227.65,0
228.82,216.69,256.12,1
229.15,269.37,211.89,1
217.99,224.86,216.78,0
2.53,226.34,228.27,1
37.13,228.15,226.36,1
214.95,224.65,254.93,1
226.62,218.44,229.55,0
215.05,294.31,230.97,1
219.37,217.81,217.9,0
224.19,76.45,222.36,1
209.87,212.53,227.15,0
144.34,212.07,214.25,1
215.16,210.97,9.74,1
209.44,76.1,218.38,1
223.74,211.54,212.22,0
215.41,215.21,191.9,1
223.25,84.75,229.18,1
220.5,220.74,222.1,0
233.36,226.2,228.8,1
212.52,209.06,261.58,1
215.62,254.28,220.62,1
218.78,227.2,212.91,0
225.47,225.17,210.67,0
217.8,224.04,284.97,1
216.99,219.18,268.44,1
221.98,227.32,214.28,0
224.99,213.4,225.65,0
217.1,214.68,211.69,0
211.02,227.99,297.36,1
228.75,213.89,213.07,0
83.32,230.2,224.53,1
223.44,91.09,220.77,1
223.98,228.73,113.61,1
223.01,229.9,218.5,0
213.56,217.09,30.38,1
222.25,214.39,209.05,0
221.06,213.45,233.87,1
209.41,223.82,79.05,1
72.01,226.71,216.5,1
67.05,220.35,210.04,1
217.62,219.97,31.53,1
223.43,224.87,210.78,0
224.89,230.65,225.13,0
229.75,220.64,177.55,1
215.63,271.74,212.28,1
209.2,229.2,233.28,1
221.32,190.26,220.87,1
219.29,222.75,253.29,1
229.47,291.16,222.5,1
215.97,211.14,272.23,1
209.12,217.72,251.66,1
201.83,214.98,213.54,1
210.98,229.97,215.24,0
210.39,209.87,296.67,1
227.92,217.1,221.59,0
213.37,215.83,274.92,1
218.47,226.1,215.48,0
222.73,63.14,222.23,1
226.91,210.51,216.57,0
227.15,218.53,219.33,0
109.06,220.23,220.75,1
255.72,226.63,225.89,1
217.45,219.89,212.23,0
219.27,225.34,17.87,1
212.18,209.68,216.27,0
254.84,227.39,213.83,1
228.63,214.01,70.19,1
228.52,251.06,224.37,1
222.75,221.26,224.79,0
228.83,216.89,229.09,0
211.72,216.94,229.51,0
216.93,216.41,224.4,0
229.3,217.05,224.69,0
174.27,224.64,223.01,1
217.43,229.16,295.59,1
229.5,218.99,227.93,0
222.74,222.69,212.56,0
189.11,230.09,213.96,1
210.45,219.66,299.04,1
277.49,230.9,215.8,1
26.22,223.76,216.27,1
211.25,217.97,221.56,0
217.57,219.43,228.05,0
214.93,229.36,267.99,1
228.65,253.48,212.69,1
237.32,210.58,221.91,1
224.11,268.04,228.38,1
222.88,223.28,226.44,0
222.78,230.8,227.09,0
210.0,212.5,226.14,0
229.18,254.57,222.33,1
65.83,226.3,209.14,1
229.2,215.24,226.7,0
212.29,217.19,224.3,0
226.38,215.79,218.12,0
225.74,222.74,228.99,0
221.4,213.57,211.73,0
209.33,201.48,217.27,1
215.36,221.06,212.7,0
212.45,217.4,299.12,1
214.23,226.08,226.58,0
211.86,217.89,221.02,0
229.29,237.61,219.61,1
82.14,220.05,213.54,1
288.71,211.07,221.56,1
212.36,211.29,219.25,0
228.35,198.97,214.12,1
210.64,219.26,212.54,0
217.76,210.35,125.49,1
230.95,78.38,230.03,1
220.07,218.06,221.03,0
257.03,218.56,211.23,1
19.52,217.19,219.36,1
289.9,230.8,221.95,1
256.05,227.61,216.13,1
210.2,298.39,226.09,1
220.19,267.18,220.37,1
217.37,209.4,221.85,0
69.33,226.13,222.19,1
217.44,211.24,215.92,0
216.41,19.48,228.03,1
266.23,220.03,227.28,1
125.71,214.37,209.3,1
215.74,220.1,216.85,0
224.66,187.29,210.48,1
228.81,280.04,227.65,1
222.64,221.31,64.52,1
214.12,246.25,226.59,1
210.8,209.25,219.83,0
228.63,220.88,227.17,0
211.32,215.32,213.21,0
220.15,215.46,223.38,0
212.36,222.56,223.61,0
21.7,223.8,217.65,1
224.14,18.62,213.46,1
103.06,211.85,224.33,1
211.41,246.43,209.25,1
227.5,178.26,218.86,1
213.22,215.64,222.95,0
221.98,99.68,216.36,1
227.61,229.93,220.04,0
244.2,209.92,221.29,1
211.9,217.61,209.74,0
225.01,209.3,253.23,1
229.22,230.36,221.5,0
225.08,221.43,212.47,0
219.67,216.82,227.82,0
217.23,229.96,215.42,0
226.84,221.59,213.54,0
212.69,212.87,215.34,0
38.83,223.31,224.63,1
218.65,213.13,219.87,0
217.68,224.61,211.07,0
221.02,228.01,212.85,0
67.84,228.39,211.27,1
223.41,65.21,212.69,1
222.38,225.14,211.42,0
211.69,244.5,212.16,1
290.24,211.5,226.23,1
229.06,228.88,211.21,0
227.34,210.17,271.74,1
218.05,209.34,225.42,0
226.38,221.59,292.67,1
85.6,225.76,221.0,1
218.52,228.5,226.57,0
216.85,216.85,223.04,0
227.16,214.48,297.46,1
216.7,209.52,230.49,0
214.66,224.93,217.09,0
226.2,281.96,218.85,1
224.92,264.77,222.29,1
222.94,230.0,225.37,0
211.22,221.08,216.94,0
216.45,54.14,214.19,1
213.19,225.61,226.26,0
227.65,218.16,216.48,0
220.41,222.85,210.84,0
222.51,291.91,215.15,1
224.35,236.86,226.81,1
244.34,218.52,230.76,1
216.83,223.95,219.46,0
230.47,209.46,107.64,1
209.66,230.85,212.31,0
227.81,215.84,228.55,0
211.2,228.35,210.27,0
236.14,227.63,211.6,1
225.84,220.3,212.35,0
281.04,215.97,219.92,1
230.45,219.28,190.91,1
59.2,228.76,225.11,1
218.62,40.35,218.95,1
225.3,224.12,216.7,0
278.84,229.2,225.33,1
230.74,219.25,230.87,0
216.44,209.13,221.56,0
212.81,229.88,222.35,0
221.18,216.45,299.22,1
221.23,243.79,225.85,1
182.05,223.42,218.07,1
242.92,225.65,212.78,1
217.04,221.12,210.06,0
223.3,216.44,220.07,0
220.92,214.79,220.45,0
220.42,219.95,211.5,0
228.03,221.82,209.34,0
221.2,225.63,243.02,1
222.12,218.22,224.05,0
221.04,185.22,212.21,1
80.2,228.98,216.07,1
217.27,212.62,210.69,0
221.77,87.02,228.97,1
213.49,210.71,210.14,0
196.89,218.03,228.25,1
213.37,220.49,223.88,0
211.43,217.67,216.35,0
219.18,223.73,220.47,0
223.65,223.79,209.97,0
219.03,218.75,118.25,1
230.17,215.63,214.43,0
222.0,291.74,229.05,1
228.45,217.16,210.74,0
213.76,212.99,223.43,0
209.42,217.27,241.07,1
217.61,222.7,281.37,1
216.11,221.07,220.6,0
228.25,225.73,205.46,1
284.9,224.96,226.97,1
229.55,230.02,217.98,0
213.83,224.53,220.09,0
211.45,215.76,226.88,0
52.71,230.87,212.8,1
66.58,225.18,210.11,1
220.13,268.9,210.48,1
215.14,229.67,211.81,0
214.48,229.99,209.4,0
228.41,118.76,223.16,1
220.1,267.73,230.79,1
222.69,230.77,222.46,0
224.47,226.2,203.87,1
214.06,211.25,219.33,0
109.99,219.29,213.5,1
211.85,229.89,220.78,0
210.52,221.64,297.11,1
224.3,19.31,230.83,1
217.38,221.78,226.22,0
227.05,209.61,217.46,0
216.08,155.08,227.22,1
227.62,213.12,219.01,0
217.81,229.62,217.69,0
225.3,213.21,145.64,1
210.3,230.81,217.92,0
229.58,222.05,223.39,0
216.83,219.56,264.98,1
214.7,211.25,227.16,0
216.7,212.68,270.24,1
3.47,224.46,222.06,1
227.17,225.18,117.67,1
215.63,216.4,211.96,0
171.51,226.63,212.6,1
224.83,218.17,212.23,0
222.22,215.45,227.52,0
221.43,7.79,213.69,1
197.17,224.01,228.34,1
230.15,157.68,217.96,1
216.01,215.09,284.44,1
228.03,257.07,226.97,1
251.04,216.24,228.13,1
223.65,245.63,222.14,1
227.63,223.41,224.25,0
211.45,220.33,217.61,0
215.27,210.37,228.72,0
210.27,228.84,123.46,1
228.25,59.98,230.31,1
211.31,212.03,228.62,0
216.44,223.01,230.24,0
220.31,222.29,282.52,1
225.73,140.43,227.66,1
229.47,215.52,230.67,0
218.71,219.82,230.98,0
210.01,89.95,226.2,1
212.59,224.38,220.31,0
220.03,218.84,214.94,0
219.16,33.94,212.46,1
219.61,226.28,210.61,0
283.89,225.53,228.53,1
227.35,223.25,209.68,0
226.33,244.49,230.16,1
218.49,265.97,220.66,1
210.69,213.13,230.32,0
19.47,210.88,229.53,1
211.87,287.42,226.48,1
210.48,238.96,221.95,1
223.16,225.44,220.1,0
213.53,226.43,223.83,0
225.99,209.99,282.81,1
224.54,228.05,227.92,0
226.33,220.64,220.85,0
218.26,215.4,224.66,0
226.29,138.73,230.61,1
293.04,217.21,217.29,1
214.35,210.67,221.8,0
229.11,191.74,226.63,1
214.73,228.59,228.84,0
211.68,269.83,230.71,1
223.8,230.74,217.78,0
215.02,230.83,65.2,1
210.59,221.33,56.55,1
230.57,258.5,217.63,1
218.0,213.55,236.8,1
132.67,214.06,229.84,1
214.59,213.54,225.49,0
291.03,218.87,230.57,1
221.65,104.96,224.3,1
209.65,213.97,222.64,0
226.7,213.39,279.75,1
229.85,225.61,138.46,1
222.12,218.06,211.03,0
169.31,221.94,221.87,1
229.0,227.98,224.07,0
217.22,210.18,262.06,1
209.62,216.66,220.65,0
270.18,219.37,222.8,1
219.78,227.75,181.99,1
214.97,218.91,225.2,0
220.92,216.18,214.88,0
11.67,220.92,228.67,1
225.25,73.99,230.47,1
214.3,10.98,217.84,1
241.91,224.91,221.35,1
298.68,225.66,214.58,1
227.32,228.52,212.71,0
216.9,218.18,224.03,0
78.05,229.29,213.89,1
220.77,209.18,204.03,1
213.18,223.03,210.41,0
223.69,210.59,229.7,0
227.52,220.32,211.59,0
219.47,224.08,48.58,1
224.22,147.94,214.75,1
229.21,211.85,227.06,0
218.55,160.49,212.73,1
213.86,215.22,209.42,0
222.42,20.19,220.4,1
293.33,218.65,224.92,1
225.23,214.11,210.4,0
214.5,42.23,218.9,1
217.07,212.39,215.39,0
218.16,212.38,230.07,0
217.37,113.34,222.64,1
218.97,214.35,212.57,0
228.04,224.94,210.88,0
269.67,211.69,221.39,1
223.6,217.48,209.09,0
228.97,211.56,220.77,0
211.83,213.59,219.9,0
225.35,279.23,216.08,1
220.83,217.23,229.37,0
82.73,218.95,221.99,1
216.28,244.23,209.4,1
229.8,295.55,216.78,1
225.54,230.5,169.74,1
209.79,222.37,218.4,0
213.58,225.85,214.59,0
226.98,229.86,220.8,0
230.82,2.1,227.73,1
211.16,271.73,228.86,1
219.88,209.23,221.58,0
214.19,165.83,221.47,1
274.85,214.06,219.45,1
223.39,19.62,224.15,1
220.44,215.92,219.76,0
226.26,275.97,225.01,1
221.84,230.09,220.44,0
215.63,225.55,218.76,0
225.79,223.24,114.71,1
212.49,230.57,230.73,0
220.24,220.48,211.27,0
223.38,229.88,240.34,1
213.78,215.15,229.57,0
221.91,224.64,223.74,0
221.06,224.46,153.72,1
212.82,212.82,220.07,0
222.26,221.23,219.47,0
229.95,258.04,221.77,1
247.08,230.45,226.98,1
225.5,213.99,226.1,0
234.53,230.77,222.2,1
223.71,264.21,223.18,1
220.75,222.03,127.43,1
226.84,34.72,220.97,1
214.23,227.36,224.76,0
229.56,53.2,225.92,1
226.03,3.56,213.26,1
219.43,71.74,212.79,1
213.03,213.86,214.02,0
221.93,223.29,223.87,0
209.54,218.55,79.6,1
230.5,80.11,210.28,1
224.22,212.32,230.07,0
230.67,222.0,209.96,0
224.52,213.89,260.75,1
221.12,230.44,126.24,1
95.94,212.88,216.06,1
230.86,212.83,213.1,0
221.11,211.98,225.9,0
230.83,210.02,224.4,0
230.9,218.11,227.46,0
227.25,213.94,217.34,0
218.15,227.28,210.95,0
214.22,220.83,216.07,0
214.56,219.31,227.86,0
211.35,225.61,219.83,0
228.0,222.95,229.82,0
229.38,218.54,261.16,1
215.8,219.11,209.46,0
224.96,223.94,270.43,1
222.33,155.75,217.45,1
30.44,213.46,229.63,1
210.29,220.82,211.66,0
229.39,214.83,263.52,1
209.64,224.54,228.29,0
225.67,266.56,217.19,1
221.23,216.36,217.16,0
221.11,221.96,200.24,1
23.17,221.9,227.66,1
216.57,230.45,216.71,0
229.78,220.92,213.12,0
226.27,225.26,210.04,0
225.16,7.67,218.67,1
217.82,224.86,212.49,0
229.74,224.37,288.62,1
209.48,168.15,215.2,1
211.21,227.99,281.17,1
212.52,216.59,209.46,0
221.0,210.22,216.38,0
222.67,214.12,251.06,1
221.78,284.37,219.55,1
210.56,212.65,212.89,0
227.43,62.83,217.27,1
222.03,211.59,226.77,0
209.75,240.48,217.18,1
213.24,228.68,227.83,0
226.1,213.2,228.34,0
222.95,209.01,217.43,0
226.09,211.28,226.14,0
229.28,209.73,213.81,0
226.42,218.6,214.98,0
228.28,86.1,212.47,1
213.71,212.68,214.2,0
219.22,55.57,227.86,1
217.18,226.79,213.88,0
216.86,215.89,209.89,0
220.58,215.87,215.79,0
165.47,219.79,216.22,1
213.38,225.99,225.52,0
210.46,295.17,228.6,1
225.26,234.31,230.52,1
219.78,218.7,218.69,0
210.89,54.78,222.42,1
227.82,228.14,209.51,0
220.16,224.52,210.94,0
224.08,268.55,215.48,1
219.57,230.25,220.15,0
212.2,224.21,223.52,0
128.37,221.91,222.66,1
230.54,229.99,220.42,0
210.16,210.0,224.64,0
261.32,217.53,222.05,1
216.9,188.06,224.94,1
215.81,254.75,230.26,1
215.16,228.54,224.63,0
217.95,291.64,209.47,1
222.22,227.58,217.66,0
230.49,209.55,224.87,0
215.99,214.09,229.23,0
289.43,222.23,221.02,1
215.09,224.66,96.75,1
210.4,219.03,212.42,0
222.48,213.76,228.12,0
221.34,290.29,214.36,1
225.6,230.4,223.22,0
212.35,224.4,289.62,1
226.63,216.91,274.06,1
219.19,242.65,210.53,1
209.18,296.58,229.78,1
219.4,224.67,251.67,1
293.16,214.93,230.78,1
216.15,237.17,227.38,1
220.6,219.06,215.5,0
255.64,225.46,217.59,1
222.81,209.45,216.84,0
28.98,223.82,222.18,1
221.21,213.37,223.6,0
223.96,216.34,215.53,0
215.28,224.33,220.92,0
215.06,227.6,213.6,0
224.99,221.27,224.11,0
213.6,236.15,211.05,1
223.33,212.17,215.8,0
228.65,216.74,210.06,0
225.18,214.09,270.01,1
215.01,230.19,212.07,0
171.48,226.95,214.29,1
134.27,226.78,227.19,1
217.04,226.2,221.8,0
216.17,229.91,224.2,0
226.97,209.58,221.57,0
251.34,218.32,219.44,1
210.63,229.41,215.2,0
189.04,211.53,215.71,1
217.73,211.87,213.41,0
216.83,216.46,224.83,0
216.05,229.41,222.07,0
213.65,258.43,214.58,1
210.62,217.64,2.68,1
17.84,214.27,225.96,1
218.06,217.95,221.45,0
223.69,298.34,219.95,1
282.13,216.1,224.38,1
229.77,198.58,211.11,1
219.35,251.42,209.92,1
227.27,224.18,219.81,0
211.68,214.61,89.63,1
219.71,264.74,215.0,1
215.36,248.09,218.9,1
225.58,221.94,230.56,0
214.45,229.34,213.34,0
218.43,217.89,143.73,1
218.61,227.65,218.55,0
213.24,228.42,261.64,1
220.15,217.68,222.8,0
216.44,214.67,230.97,0
212.07,26.95,215.0,1
228.84,228.83,222.5,0
216.43,82.42,212.88,1
219.85,77.0,225.56,1
214.3,219.32,216.7,0
228.59,221.53,222.88,0
256.48,217.08,219.03,1
222.03,229.9,222.93,0
223.11,226.6,221.98,0
230.57,236.31,216.04,1
212.74,210.71,210.35,0
201.21,218.01,219.47,1
219.36,226.46,223.24,0
134.73,212.46,211.9,1
229.64,96.13,212.32,1
221.18,228.25,218.05,0
219.61,218.22,230.53,0
226.02,260.83,215.5,1
225.41,226.76,221.36,0
124.42,223.75,220.37,1
211.01,224.26,226.18,0
220.59,228.9,227.47,0
229.92,213.28,213.19,0
228.36,220.26,218.5,0
220.84,225.32,223.89,0
16.71,221.65,209.16,1
209.08,218.66,218.18,0
224.61,230.79,219.48,0
218.16,16.46,220.04,1
217.33,224.22,109.83,1
210.5,199.08,213.37,1
219.03,230.11,258.2,1
226.9,225.3,213.56,0
217.26,258.0,213.88,1
149.3,219.05,211.53,1
218.09,212.12,230.41,0
227.66,67.27,209.69,1
166.19,219.92,221.64,1
212.95,228.94,222.12,0
210.1,211.25,251.2,1
222.62,213.65,226.89,0
271.01,224.24,228.68,1
226.35,221.02,223.3,0
223.01,216.5,219.78,0
213.32,210.94,218.67,0
